Year,HTS_Code,Description,MFN_Rate,MFN_Rate_Raw,Category
2015,12019000,"Soybeans, whether or not broken, other than seed",0.0,0,Soybean
2015,85411000,"Diodes, other than photosensitive or light-emitting diodes",0.0,0,Chip
2015,85412100,"Transistors, other than photosensitive transistors, with a dissipation rating of less than 1 W",0.0,0,Chip
2015,85412900,"Transistors, other than photosensitive transistors, with a dissipation rating of 1 W or more",0.0,0,Chip
2015,85413000,"Thyristors, diacs and triacs, other than photosensitive devices",0.0,0,Chip
2015,85414020,Light-emitting diodes (LED's),0.0,0,Chip
2015,85414060,"Diodes for semiconductor devices, other than light-emitting diodes, nesi",0.0,0,Chip
2015,85414070,Photosensitive transistors,0.0,0,Chip
2015,85414080,"Photosensitive semiconductor devices nesi, optical coupled isolators",0.0,0,Chip
2015,85414095,"Photosensitive semiconductor devices nesi, other",0.0,0,Chip
2015,85415000,"Semiconductor devices other than photosensitive semiconductor devices, nesi",0.0,0,Chip
2015,85416000,Mounted piezoelectric crystals,0.0,0,Chip
2015,85419000,"Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals",0.0,0,Chip
2015,85423100,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or oth",0.0,0,Chip
2015,85423200,Memories,0.0,0,Chip
2015,85423300,Amplifiers,0.0,0,Chip
2015,85423900,"Electronic integrated circuits, NESOI",0.0,0,Chip
2015,85429000,Parts of electronic integrated circuits and microassemblies,0.0,0,Chip
2015,87031010,Motor vehicles specially designed for traveling on snow,0.025,0.025,Auto
2015,87031050,Golf carts and similar motor vehicles,0.025,0.025,Auto
2015,87032100,"Mtr cars & o/mtr. vehicles for transport of persons, w/spark-ign. int. combust. recip. piston engine w/cyl. cap. n/o 1000 cc",0.025,0.025,Auto
2015,87032200,"Mtr cars & o/mtr. vehicles for transport of persons, w/spark-ign. int. combust. recip. piston engine w/cyl. cap. o/1000 cc n/o 1500 cc",0.025,0.025,Auto
2015,87032300,"Mtr cars & o/mtr. vehicles for transport of persons, w/spark-ign. int. combust. recip. piston engine w/cyl. cap. o/1500 cc n/o 3000 cc",0.025,0.025,Auto
2015,87032400,"Mtr cars & o/mtr. vehicles for transport of persons, w/spark-ign. int. combust. recip. piston engine w/cyl. cap. o/ 3000 cc",0.025,0.025,Auto
2015,87033100,"Mtr cars & o/mtr. vehicles for transport of persons, w/compress.-ign. int. combust. recip. piston engine w/cyl. cap. n/o 1500 cc",0.025,0.025,Auto
2015,87033200,"Mtr cars & o/mtr. vehicles for transport of persons, w/compress.-ign. int. combust. recip. piston engine w/cyl. cap. o/1500 cc n/o 2500 cc",0.025,0.025,Auto
2015,87033300,"Mtr cars & o/mtr. vehicles for transport of persons, w/compress.-ign. int. combust. recip. piston engine w/cyl. cap. o/2500 cc",0.025,0.025,Auto
2015,87039000,"Mtr cars & other motor vehicles for transport of persons, o/than w/spark ign. or compress. ign. recip. piston engine, nesoi",0.025,0.025,Auto
2016,12019000,"Soybeans, whether or not broken, other than seed",0.0,0,Soybean
2016,85414095,"Photosensitive semiconductor devices nesi, other",0.0,0,Chip
2016,85411000,"Diodes, other than photosensitive or light-emitting diodes",0.0,0,Chip
2016,85415000,"Semiconductor devices other than photosensitive semiconductor devices, nesi",0.0,0,Chip
2016,85416000,Mounted piezoelectric crystals,0.0,0,Chip
2016,85419000,"Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals",0.0,0,Chip
2016,85423100,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or oth",0.0,0,Chip
2016,85423200,Memories,0.0,0,Chip
2016,85423300,Amplifiers,0.0,0,Chip
