typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","11618334658",,"11618334658","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3217167841",,"3217167841","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1139412411",,"1139412411","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1408575054",,"1408575054","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","28828596724",,"28828596724","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2002167604",,"2002167604","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1503998779",,"1503998779","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","163578597",,"163578597","0","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7656259","false","-1","N/A",,"false","11813708177","true",,"false","169175860105",,"169175860105","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","175728","false","-1","N/A",,"false","28127319","true",,"false","327920324",,"327920324","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1614794","false","-1","N/A",,"false","2575299729","true",,"false","36515838773",,"36515838773","4","true","false",
"C","A","20150101","2015","52","2015","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1479353","false","-1","N/A",,"false","1849673420","true",,"false","23954996098",,"23954996098","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","13853144775",,"13853144775","0","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","22034556.884","true","0","false","3145894666",,"3145894666","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","7310466.611","true","0","false","1111905794",,"1111905794","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","8394975.1","true","0","false","1202352330",,"1202352330","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","30743514615",,"30743514615","0","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2492383.553","true","0","false","2232299449",,"2232299449","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1824493.423","true","0","false","1383034315",,"1383034315","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","180290.908","true","0","false","176141665",,"176141665","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","0","W00","World","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7764027.32","true","-1","N/A","0","false","12423757138.425","true","0","false","173287002521",,"173287002521","6","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","249913","false","5","u","249913","false","110461992.276","true","0","false","1298015628",,"1298015628","4","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1717298","false","5","u","1717298","false","2901260120.238","true","0","false","39987793883",,"39987793883","4","false","true",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1465477","false","5","u","1465477","false","1992160183.092","true","0","false","24133986702",,"24133986702","4","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","10685470750","0","10685470750","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","14256285.34","true","0","false","2136959789","0","2136959789","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","6880503.194","true","0","false","1035081411","0","1035081411","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","4157487.425","true","0","false","681629202","0","681629202","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","33455738782","0","33455738782","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2732634.083","true","0","false","2752476698","0","2752476698","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1512692.023","true","0","false","1310258358","0","1310258358","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1298734.024","true","0","false","1444852069","0","1444852069","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7967019.323","true","-1","N/A","0","false","12924675701.839","true","0","false","179597535676","0","179597535676","6","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","312338","false","-1","N/A","0","false","152053074.668","true","0","false","1822856110","0","1822856110","4","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1736182","false","-1","N/A","0","false","2868853149.484","true","0","false","40695859396","0","40695859396","4","false","true",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1783559","false","-1","N/A","0","false","2533971784.477","true","0","false","30604149205","0","30604149205","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","8902718138","0","8902718138","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","8676509.268","true","0","false","1461718471","0","1461718471","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","7511064.501","true","0","false","1136418605","0","1136418605","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","4501870.324","true","0","false","787428789","0","787428789","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","34796159683","0","34796159683","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","3340634.874","true","0","false","3196152668","0","3196152668","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1542637.27","true","0","false","1263345949","0","1263345949","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1427334.807","true","0","false","1397459126","0","1397459126","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7842711.585","true","-1","N/A","0","false","11836086505.311","true","0","false","178519052517","0","178519052517","6","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","288073","false","-1","N/A","0","false","176215456.932","true","0","false","2410965241","0","2410965241","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1733195","false","-1","N/A","0","false","2633911581.817","true","0","false","41264347589","0","41264347589","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2007223","false","-1","N/A","0","false","2635769109.436","true","0","false","35204406003","0","35204406003","4","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","11317425792","11011918837","11317425792","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","7198609.003","true","0","false","966112944","944652197","966112944","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","8786318.374","true","0","false","1018492680","1007021295","1018492680","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","4044436.031","true","0","false","590356718","589712135","590356718","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","33085045987","32964963514","33085045987","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1442313.544","true","0","false","1576849627","1565283105","1576849627","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1168837.304","true","0","false","1113683251","1105692159","1113683251","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1039090.588","true","0","false","1280365786","1279613342","1280365786","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7798519","false","-1","N/A","0","false","12197784938.726","true","0","false","179515290493","176853199986","179515290493","4","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","252364","false","-1","N/A","0","false","134236319.38","true","0","false","1797212882","1671003045","1797212882","4","false","true",
